hpo_iri,hpo_label,term,term_label,do_type,digital_object,file_url
http://purl.obolibrary.org/obo/HP_0001413,Micronodular cirrhosis,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-male,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/3d-vh-m-liver.glb
http://purl.obolibrary.org/obo/HP_0033378,Increased airway neuroepithelial bodies,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033378,Increased airway neuroepithelial bodies,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0007585,Skin fragility with non-scarring blistering,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-female,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/3d-vh-f-skin.glb
http://purl.obolibrary.org/obo/HP_0007585,Skin fragility with non-scarring blistering,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-male,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/3d-vh-m-skin.glb
http://purl.obolibrary.org/obo/HP_0006579,Prolonged neonatal jaundice,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-female,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/3d-vh-f-liver.glb
http://purl.obolibrary.org/obo/HP_0006579,Prolonged neonatal jaundice,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-male,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/3d-vh-m-liver.glb
http://purl.obolibrary.org/obo/HP_0200022,Choroid plexus papilloma,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-female,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-female/v1.5/assets/3d-vh-f-skin.glb
http://purl.obolibrary.org/obo/HP_0200022,Choroid plexus papilloma,http://purl.obolibrary.org/obo/UBERON_0002097,skin of body,ref-organ,https://purl.humanatlas.io/ref-organ/skin-male,https://cdn.humanatlas.io/digital-objects/ref-organ/skin-male/v1.4/assets/3d-vh-m-skin.glb
http://purl.obolibrary.org/obo/HP_0033542,Bronchial wall thickening,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033542,Bronchial wall thickening,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0200148,Abnormal liver function tests during pregnancy,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-female,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-female/v1.2/assets/3d-vh-f-liver.glb
http://purl.obolibrary.org/obo/HP_0200148,Abnormal liver function tests during pregnancy,http://purl.obolibrary.org/obo/UBERON_0002107,liver,ref-organ,https://purl.humanatlas.io/ref-organ/liver-male,https://cdn.humanatlas.io/digital-objects/ref-organ/liver-male/v1.2/assets/3d-vh-m-liver.glb
http://purl.obolibrary.org/obo/HP_0100600,Penoscrotal transposition,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,ref-organ,https://purl.humanatlas.io/ref-organ/prostate-male,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.2/assets/3d-vh-m-prostate.glb
http://purl.obolibrary.org/obo/HP_0033583,Follicular bronchiolitis,http://purl.obolibrary.org/obo/UBERON_0002048,lung,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033583,Follicular bronchiolitis,http://purl.obolibrary.org/obo/UBERON_0002048,lung,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_4000038,Infantile hydrocele,http://purl.obolibrary.org/obo/UBERON_0000079,male reproductive system,ref-organ,https://purl.humanatlas.io/ref-organ/prostate-male,https://cdn.humanatlas.io/digital-objects/ref-organ/prostate-male/v1.2/assets/3d-vh-m-prostate.glb
http://purl.obolibrary.org/obo/HP_0002190,Choroid plexus cyst,http://purl.obolibrary.org/obo/UBERON_0001886,choroid plexus,ref-organ,https://purl.humanatlas.io/ref-organ/brain-female,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb
http://purl.obolibrary.org/obo/HP_0002190,Choroid plexus cyst,http://purl.obolibrary.org/obo/UBERON_0001886,choroid plexus,ref-organ,https://purl.humanatlas.io/ref-organ/brain-male,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb
http://purl.obolibrary.org/obo/HP_0025178,Subpleural interstitial thickening,http://purl.obolibrary.org/obo/UBERON_0002048,lung,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0025178,Subpleural interstitial thickening,http://purl.obolibrary.org/obo/UBERON_0002048,lung,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0033614,Tracheal bronchus,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033614,Tracheal bronchus,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0007985,Retinal arteriolar occlusion,http://purl.obolibrary.org/obo/UBERON_0002203,vasculature of eye,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-female,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-female/v1.3/assets/3d-vh-f-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0007985,Retinal arteriolar occlusion,http://purl.obolibrary.org/obo/UBERON_0002203,vasculature of eye,ref-organ,https://purl.humanatlas.io/ref-organ/blood-vasculature-male,https://cdn.humanatlas.io/digital-objects/ref-organ/blood-vasculature-male/v1.3/assets/3d-vh-m-blood-vasculature.glb
http://purl.obolibrary.org/obo/HP_0033322,Glomerular capillary wall duplication without cellular interposition,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-left/v1.3/assets/3d-vh-f-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033322,Glomerular capillary wall duplication without cellular interposition,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-female-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-female-right/v1.3/assets/3d-vh-f-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0033322,Glomerular capillary wall duplication without cellular interposition,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-left,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-left/v1.3/assets/3d-vh-m-kidney-l.glb
http://purl.obolibrary.org/obo/HP_0033322,Glomerular capillary wall duplication without cellular interposition,http://purl.obolibrary.org/obo/UBERON_0001225,cortex of kidney,ref-organ,https://purl.humanatlas.io/ref-organ/kidney-male-right,https://cdn.humanatlas.io/digital-objects/ref-organ/kidney-male-right/v1.3/assets/3d-vh-m-kidney-r.glb
http://purl.obolibrary.org/obo/HP_0033616,Accessory cardiac bronchus,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033616,Accessory cardiac bronchus,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
http://purl.obolibrary.org/obo/HP_0025636,Endometritis,http://purl.obolibrary.org/obo/UBERON_0000995,uterus,ref-organ,https://purl.humanatlas.io/ref-organ/uterus-female,https://cdn.humanatlas.io/digital-objects/ref-organ/uterus-female/v1.2/assets/3d-vh-f-uterus.glb
http://purl.obolibrary.org/obo/HP_0100319,Cerebral hyaline bodies,http://purl.obolibrary.org/obo/UBERON_0000955,brain,ref-organ,https://purl.humanatlas.io/ref-organ/brain-female,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-female/v1.4/assets/3d-allen-f-brain.glb
http://purl.obolibrary.org/obo/HP_0100319,Cerebral hyaline bodies,http://purl.obolibrary.org/obo/UBERON_0000955,brain,ref-organ,https://purl.humanatlas.io/ref-organ/brain-male,https://cdn.humanatlas.io/digital-objects/ref-organ/brain-male/v1.4/assets/3d-allen-m-brain.glb
http://purl.obolibrary.org/obo/HP_0033621,Bronchial diverticula,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-female,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-female/v1.4/assets/3d-vh-f-lung.glb
http://purl.obolibrary.org/obo/HP_0033621,Bronchial diverticula,http://purl.obolibrary.org/obo/UBERON_0002185,bronchus,ref-organ,https://purl.humanatlas.io/ref-organ/lung-male,https://cdn.humanatlas.io/digital-objects/ref-organ/lung-male/v1.4/assets/3d-vh-m-lung.glb
